Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
32493550.2,,SKY55446+REV,10/4/2024 2:21,10/4/2024 2:56,,,
32493550.2,6VTRX07,SKY55446+REV1,10/4/2024 2:21,10/4/2024 2:56,100.00%,52,0
32493550.3,,SKY55446+REV,10/4/2024 3:03,10/4/2024 3:23,,,
32493550.3,,SKY55446+REV,10/4/2024 3:03,10/4/2024 3:23,,,
32493550.3,6VTRX07,SKY55446+REV1,10/4/2024 3:03,10/4/2024 3:23,100.00%,47,0
32493550.4,,SKY55446+REV,10/4/2024 3:33,10/4/2024 3:35,,,
32493550.4,6VTRX07,SKY55446+REV1,10/4/2024 3:33,10/4/2024 3:35,0.00%,0,0
32493550.5,,SKY55446+REV,10/4/2024 3:40,10/4/2024 3:46,,,
32493550.5,6VTRX07,SKY55446+REV1,10/4/2024 3:40,10/4/2024 3:46,0.00%,0,0
4920441.1 2,,SKY55446+REV,10/9/2024 10:17,10/10/2024 2:23,,,
4920441.1 2,,SKY55446+REV,10/9/2024 10:17,10/10/2024 2:23,,,
4920441.1 2,6VTRX07,SKY55446+REV2,10/9/2024 10:17,10/10/2024 2:23,98.33%,20669,346
4920441.1 2,,SKY55446+REV,10/9/2024 10:17,10/10/2024 0:52,,,
4920441.1 2,,SKY55446+REV,10/9/2024 10:17,10/10/2024 0:52,,,
4920441.1 2,6VTRX07,SKY55446+REV2,10/9/2024 10:17,10/10/2024 0:52,81.74%,23274,4249
4920441.1 3,,SKY55446+REV,10/10/2024 2:36,10/10/2024 3:15,,,
4920441.1 3,,SKY55446+REV,10/10/2024 2:36,10/10/2024 3:15,,,
4920441.1 3,6VTRX07,SKY55446+REV2,10/10/2024 2:36,10/10/2024 3:15,100.00%,119,0
4920441.1 3,,SKY55446+REV,10/10/2024 2:36,10/10/2024 3:04,,,
4920441.1 3,,SKY55446+REV,10/10/2024 2:36,10/10/2024 3:04,,,
4920441.1 3,6VTRX07,SKY55446+REV2,10/10/2024 2:36,10/10/2024 3:04,34.29%,347,228
4920441.1,,SKY55446+REV,10/8/2024 17:33,10/8/2024 18:47,,,
4920441.1,,SKY55446+REV,10/8/2024 17:33,10/8/2024 18:47,,,
4920441.1,6VTRX07,SKY55446+REV2,10/8/2024 17:33,10/8/2024 18:47,79.83%,952,192
4920441.2,,SKY55446+REV,10/8/2024 19:09,10/8/2024 19:12,,,
4920441.2,6VTRX07,SKY55446+REV2,10/8/2024 19:09,10/8/2024 19:12,0.00%,0,0
4920441.3,,SKY55446+REV,10/8/2024 19:25,10/8/2024 20:39,,,
4920441.3,,SKY55446+REV,10/8/2024 19:25,10/8/2024 20:39,,,
4920441.3,6VTRX07,SKY55446+REV2,10/8/2024 19:25,10/8/2024 20:39,73.37%,995,265
4920441.4,,SKY55446+REV,10/8/2024 20:46,10/8/2024 20:48,,,
4920441.4,6VTRX07,SKY55446+REV2,10/8/2024 20:46,10/8/2024 20:48,0.00%,0,0
4920441.5,,SKY55446+REV,10/8/2024 22:16,10/9/2024 6:24,,,
4920441.5,,SKY55446+REV,10/8/2024 22:16,10/9/2024 6:24,,,
4920441.5,6VTRX07,SKY55446+REV2,10/8/2024 22:16,10/9/2024 6:24,77.14%,2660,608
4929225.1,,SKY55446+REV,10/4/2024 5:19,10/4/2024 5:25,,,
4929225.1,6VTRX07,SKY55446+REV1,10/4/2024 5:19,10/4/2024 5:25,0.00%,0,0
4957491.1,,SKY55446+REV,10/1/2024 10:04,10/1/2024 17:06,,,
4957491.1,,SKY55446+REV,10/1/2024 10:04,10/1/2024 17:06,,,
4957491.1,6VTRX07,SKY55446+REV1,10/1/2024 10:04,10/1/2024 17:06,96.88%,21481,671
4957491.1,,SKY55446+REV,10/1/2024 10:04,10/1/2024 17:33,,,
4957491.1,,SKY55446+REV,10/1/2024 10:04,10/1/2024 17:33,,,
4957491.1,6VTRX07,SKY55446+REV1,10/1/2024 10:04,10/1/2024 17:33,99.51%,21539,106
4957491.1,,SKY55446+REV,10/1/2024 10:04,10/1/2024 11:06,,,
4957491.1,,SKY55446+REV,10/1/2024 10:04,10/1/2024 11:06,,,
4957491.1,6VTRX07,SKY55446+REV1,10/1/2024 10:04,10/1/2024 11:06,97.68%,3108,72
4957492.1,,SKY55446+REV,10/13/2024 14:32,10/13/2024 19:57,,,
4957492.1,,SKY55446+REV,10/13/2024 14:32,10/13/2024 19:57,,,
4957492.1,6VTRX07,SKY55446+REV3,10/13/2024 14:32,10/13/2024 19:57,98.10%,21467,409
4957492.1,,SKY55446+REV,10/13/2024 14:32,10/13/2024 19:06,,,
4957492.1,,SKY55446+REV,10/13/2024 14:32,10/13/2024 19:06,,,
4957492.1,6VTRX07,SKY55446+REV3,10/13/2024 14:32,10/13/2024 19:06,91.22%,21250,1865
4957493.1,,SKY55446+REV,10/12/2024 0:11,10/12/2024 5:27,,,
4957493.1,,SKY55446+REV,10/12/2024 0:11,10/12/2024 5:27,,,
4957493.1,6VTRX07,SKY55446+REV3,10/12/2024 0:11,10/12/2024 5:27,99.64%,21077,76
4957493.1,,SKY55446+REV,10/12/2024 0:11,10/12/2024 5:35,,,
4957493.1,,SKY55446+REV,10/12/2024 0:11,10/12/2024 5:35,,,
4957493.1,6VTRX07,SKY55446+REV3,10/12/2024 0:11,10/12/2024 5:35,100.00%,21001,0
4957493.1,,SKY55446+REV,10/12/2024 0:11,10/12/2024 4:51,,,
4957493.1,,SKY55446+REV,10/12/2024 0:11,10/12/2024 4:51,,,
4957493.1,6VTRX07,SKY55446+REV3,10/12/2024 0:11,10/12/2024 4:51,96.07%,20903,821
4957913.1,,SKY55446+REV,10/15/2024 8:44,10/15/2024 13:48,,,
4957913.1,,SKY55446+REV,10/15/2024 8:44,10/15/2024 13:48,,,
4957913.1,6VTRX07,SKY55446+REV3,10/15/2024 8:44,10/15/2024 13:48,98.76%,16781,208
4957913.1,,SKY55446+REV,10/15/2024 8:44,10/15/2024 13:21,,,
4957913.1,,SKY55446+REV,10/15/2024 8:44,10/15/2024 13:21,,,
4957913.1,6VTRX07,SKY55446+REV3,10/15/2024 8:44,10/15/2024 13:21,95.33%,16713,780
4957913.1DEP 2,,SKY55446+REV,10/20/2024 10:49,10/20/2024 13:34,,,
4957913.1DEP 2,6VTRX07,SKY55446+REV3,10/20/2024 10:49,10/20/2024 13:34,100.00%,11256,0
4957913.1DEP 3,,SKY55446+REV,10/20/2024 13:53,10/20/2024 15:04,,,
4957913.1DEP 3,6VTRX07,SKY55446+REV3,10/20/2024 13:53,10/20/2024 15:04,0.00%,0,0
4957913.1DEP 4,,SKY55446+REV,10/20/2024 16:37,10/20/2024 17:29,,,
4957913.1DEP 4,6VTRX07,SKY55446+REV3,10/20/2024 16:37,10/20/2024 17:29,99.98%,4893,1
4957913.1DEP,,SKY55446+REV,10/20/2024 10:40,10/20/2024 10:45,,,
4957913.1DEP,6VTRX07,SKY55446+REV3,10/20/2024 10:40,10/20/2024 10:45,0.00%,0,0
4957913.2,,SKY55446+REV,10/21/2024 8:25,10/21/2024 10:42,,,
4957913.2,,SKY55446+REV,10/21/2024 8:25,10/21/2024 10:42,,,
4957913.2,6VTRX07,SKY55446+REV3,10/21/2024 8:25,10/21/2024 10:42,95.16%,3391,164
4957913.2,,SKY55446+REV,10/21/2024 8:25,10/21/2024 8:27,,,
4957913.2,6VTRX07,SKY55446+REV3,10/21/2024 8:25,10/21/2024 8:27,0.00%,0,0
4957913.2DEP,,SKY55446+REV,10/21/2024 10:48,10/21/2024 11:56,,,
4957913.2DEP,6VTRX07,SKY55446+REV3,10/21/2024 10:48,10/21/2024 11:56,99.80%,2529,5
4957913.3,,SKY55446+REV,10/21/2024 16:46,10/22/2024 1:24,,,
4957913.3,,SKY55446+REV,10/21/2024 16:46,10/22/2024 1:24,,,
4957913.3,6VTRX07,SKY55446+REV3,10/21/2024 16:46,10/22/2024 1:24,98.48%,16417,250
4957913.3,,SKY55446+REV,10/21/2024 16:46,10/22/2024 0:28,,,
4957913.3,,SKY55446+REV,10/21/2024 16:46,10/22/2024 0:28,,,
4957913.3,6VTRX07,SKY55446+REV3,10/21/2024 16:46,10/22/2024 0:28,94.31%,16321,928
4957914.1,,SKY55446+REV,10/10/2024 7:03,10/10/2024 13:20,,,
4957914.1,,SKY55446+REV,10/10/2024 7:03,10/10/2024 13:20,,,
4957914.1,6VTRX07,SKY55446+REV2,10/10/2024 7:03,10/10/2024 13:20,99.25%,21491,162
4957914.1,,SKY55446+REV,10/10/2024 7:03,10/10/2024 12:50,,,
4957914.1,,SKY55446+REV,10/10/2024 7:03,10/10/2024 12:50,,,
4957914.1,6VTRX07,SKY55446+REV2,10/10/2024 7:03,10/10/2024 12:50,97.37%,21274,559
4957915.1,,SKY55446+REV,10/2/2024 6:44,10/3/2024 22:54,,,
4957915.1,,SKY55446+REV,10/2/2024 6:44,10/3/2024 22:54,,,
4957915.1,6VTRX07,SKY55446+REV1,10/2/2024 6:44,10/3/2024 22:54,97.39%,9789,256
4957915.1,,SKY55446+REV,10/2/2024 6:44,10/3/2024 23:41,,,
4957915.1,,SKY55446+REV,10/2/2024 6:44,10/3/2024 23:41,,,
4957915.1,6VTRX07,SKY55446+REV1,10/2/2024 6:44,10/3/2024 23:41,98.09%,9788,187
4957915.1,,SKY55446+REV,10/2/2024 6:44,10/4/2024 1:30,,,
4957915.1,,SKY55446+REV,10/2/2024 6:44,10/4/2024 1:30,,,
4957915.1,6VTRX07,SKY55446+REV1,10/2/2024 6:44,10/4/2024 1:30,98.05%,9792,191
4957915.1,,SKY55446+REV,10/2/2024 6:44,10/2/2024 6:50,,,
4957915.1.2,,SKY55446+REV,10/2/2024 7:06,10/2/2024 9:56,,,
4957915.1.2,,SKY55446+REV,10/2/2024 7:06,10/2/2024 9:56,,,
4957915.1.2,6VTRX07,SKY55446+REV1,10/2/2024 7:06,10/2/2024 9:56,96.39%,15081,545
4957915.1.2DEP,,SKY55446+REV,10/2/2024 10:16,10/2/2024 10:56,,,
4957915.1.2DEP,,SKY55446+REV,10/2/2024 10:16,10/2/2024 10:56,,,
4957915.1.2DEP,6VTRX07,SKY55446+REV1,10/2/2024 10:16,10/2/2024 10:56,100.00%,3036,0
4957915.1.3DEP,,SKY55446+REV,10/2/2024 11:28,10/2/2024 13:36,,,
4957915.1.3DEP,6VTRX07,SKY55446+REV1,10/2/2024 11:28,10/2/2024 13:36,100.00%,11484,0
4957915.1,6VTRX07,SKY55446+REV1,10/2/2024 6:44,10/2/2024 6:50,0.00%,0,0
4957916.1,,SKY55446+REV,10/16/2024 16:38,10/17/2024 3:31,,,
4957916.1,,SKY55446+REV,10/16/2024 16:38,10/17/2024 3:31,,,
4957916.1,6VTRX07,SKY55446+REV3,10/16/2024 16:38,10/17/2024 3:31,97.35%,21546,571
4957916.1,,SKY55446+REV,10/16/2024 16:38,10/17/2024 1:30,,,
4957916.1,,SKY55446+REV,10/16/2024 16:38,10/17/2024 1:30,,,
4957916.1,6VTRX07,SKY55446+REV3,10/16/2024 16:38,10/17/2024 1:30,90.10%,21363,2116
4957919.1,,SKY55446+REV,10/14/2024 1:57,10/14/2024 7:21,,,
